Jobs Per Build, Counter
1,122631
3,50677
2,45849
4,32366
6,22149
5,17287
8,11645
7,10155
9,8599
10,6274
12,5019
11,2697
15,2383
18,1873
16,1701
24,1551
36,1548
20,1496
14,1406
13,1323
32,1154
30,1008
27,842
33,648
42,638
28,617
29,616
22,580
25,545
48,544
21,526
19,438
56,380
40,338
26,285
17,237
23,208
31,186
60,183
45,166
39,134
50,120
43,115
44,97
41,92
49,88
38,83
54,80
35,72
57,71
109,66
88,58
63,57
98,56
117,47
34,46
84,43
113,42
82,41
83,41
73,40
89,33
101,33
78,32
92,32
72,31
77,29
193,29
58,23
69,23
106,22
71,21
37,20
64,20
68,18
80,16
96,13
112,11
87,10
120,10
95,9
196,8
46,7
52,7
70,7
66,6
191,6
62,4
85,4
205,4
51,3
116,3
168,3
61,2
67,2
75,2
94,2
252,2
55,1
59,1
74,1
118,1
201,1
