Project Name,Language,CM Builds,CM Passed Builds,CM Broken Builds,CM Broken Build p,OM Builds,OM Passed Builds,OM Broken Builds,OM Broken Build p
47deg/appsly-android-rest,java,214,4,210,98.13084,4,0,4,100
abarisain/dmix,java,330,257,73,22.121212,17,11,6,35.294117
activeadmin/activeadmin,java,1481,1201,280,18.906145,2760,2250,510,18.47826
activerecord-hackery/ransack,ruby,14683,12060,2623,17.864197,519,228,291,56.069363
activerecord-hackery/squeel,ruby,632,491,141,22.310127,3272,2281,991,30.287287
activewarehouse/activewarehouse-etl,java,510,102,408,80,100,60,40,40
adamfisk/LittleProxy,java,303,212,91,30.033005,4,4,0,0
addthis/stream-lib,ruby,327,273,54,16.513762,54,24,30,55.555557
adelevie/parse-ruby-client,ruby,262,199,63,24.045801,38,38,0,0
adelevie/parse_resource,ruby,76,31,45,59.210526,10,10,0,0
adhearsion/adhearsion,ruby,3404,987,2417,71.0047,65,17,48,73.84615
afeld/magickly,ruby,244,130,114,46.721313,18,11,7,38.88889
agoragames/leaderboard,ruby,157,143,14,8.917197,8,7,1,12.5
ai/autoprefixer-rails,ruby,3983,3701,282,7.08009,498,480,18,3.6144576
ai/r18n,ruby,700,479,221,31.57143,4,4,0,0
airbnb/nerve,ruby,47,42,5,10.638298,34,29,5,14.705883
airbnb/synapse,java,23,23,0,0,47,31,16,34.042553
airlift/airlift,java,375,120,255,68,34,31,3,8.823529
airlift/slice,ruby,59,54,5,8.474577,12,9,3,25
Albacore/albacore,java,739,476,263,35.588634,243,194,49,20.164608
albertlatacz/java-repl,java,206,201,5,2.4271843,1,0,1,100
alecgorge/jsonapi,ruby,85,60,25,29.411766,3,0,3,100
alexreisner/geocoder,ruby,2009,1476,533,26.530611,196,152,44,22.448978
alisnic/nyny,ruby,355,219,136,38.30986,6,6,0,0
alt3/cakebox,ruby,55,0,55,100,1,0,1,100
alvinsj/flatten_record,ruby,291,269,22,7.5601377,12,8,4,33.333336
amahi/platform,ruby,465,389,76,16.344086,13,12,1,7.692308
amatsuda/active_decorator,ruby,1210,859,351,29.008263,11,0,11,100
amatsuda/kaminari,ruby,9516,5097,4419,46.43758,2965,2420,545,18.381113
ananthakumaran/fake_dynamo,ruby,273,199,74,27.106228,47,35,12,25.531916
ankane/groupdate,ruby,1319,946,373,28.279001,99,84,15,15.151516
ankane/searchkick,java,2853,2392,461,16.15843,308,248,60,19.480518
antirez/redis-doc,java,332,316,16,4.819277,89,69,20,22.47191
aol/micro-server,java,89,37,52,58.426964,22,15,7,31.818182
apache/drill,java,124,0,124,100,313,0,313,100
apache/flink,java,4242,2148,2094,49.36351,1673,775,898,53.676033
apache/jackrabbit-oak,java,5598,2414,3184,56.877457,1302,636,666,51.152073
apache/sling,java,3754,0,3754,100,3839,0,3839,100
apache/storm,java,48,16,32,66.66667,172,46,126,73.25581
apache/tajo,ruby,361,276,85,23.545706,359,272,87,24.233984
apneadiving/Google-Maps-for-Rails,ruby,537,280,257,47.858475,15,0,15,100
applicationsonline/librarian,ruby,5,0,5,100,1320,984,336,25.454544
aprescott/serif,ruby,763,675,88,11.533421,5,5,0,0
aq1018/mongoid-history,ruby,563,422,141,25.044405,58,14,44,75.86207
arangamani/jenkins_api_client,ruby,3321,2346,975,29.35863,218,194,24,11.009174
arches/table_print,ruby,1125,683,442,39.28889,8,8,0,0
ari/jobsworth,ruby,391,107,284,72.63428,655,189,466,71.14504
arsduo/batch_api,ruby,185,127,58,31.351353,12,6,6,50
arsduo/koala,java,1612,933,679,42.12159,132,113,19,14.393939
artem-zinnatullin/android-wail-app,ruby,30,24,6,20,44,35,9,20.454546
ArturT/knapsack,ruby,1694,1398,296,17.473434,10,5,5,50
asakusarb/action_args,java,1473,1064,409,27.766462,462,426,36,7.7922077
asciidocfx/AsciidocFX,ruby,330,286,44,13.333334,139,125,14,10.071942
asciidoctor/asciidoctor,ruby,2577,2284,293,11.369809,2070,1945,125,6.0386477
